店名,ジャンル,住所,電話番号,定休日,営業時間,URL,媒体
大宮コーヒーロースターズ oasis,カフェ,埼玉県さいたま市大宮区桜木町2-491-2 postomiya2号棟 1F,048-782-8776,不定休,"月・水：11：00 〜 18：00
火・木〜日：11：00 〜 22：00
月：11：00〜18：00
火〜日：11：00〜22：00",https://tabelog.com/saitama/A1101/A110101/11057230/,tabelog
ease,ダイニングバー、ビアバー、カフェ,埼玉県さいたま市大宮区桜木町1-195-1 大宮ソラミチKOZ 1F,048-783-3403,無休,月〜日：11：00 〜 23：00,https://tabelog.com/saitama/A1101/A110101/11061031/,tabelog
果汁工房 果琳 コクーン2店,ジューススタンド,埼玉県さいたま市大宮区吉敷町4-263-1 コクーンシティ コクーン2 1F,048-788-1040,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11039125/,tabelog
エプロント 大宮区役所店,カフェ,埼玉県さいたま市大宮区吉敷町1-124-1 大宮区役所敷地内,048-729-6789,無休,"月〜金：08：00 〜 19：00
土・日・祝日：09：00 〜 18：00",https://tabelog.com/saitama/A1101/A110101/11050494/,tabelog
ドトールコーヒーショップ 大宮門街店,カフェ,埼玉県さいたま市大宮区大門町2-118,048-657-8968,無休,"月〜金：07：00 〜 21：00
土・日・祝日：07：30 〜 21：00",https://tabelog.com/saitama/A1101/A110101/11062446/,tabelog
常盤珈琲焙煎所 コクーンシティ店,コーヒースタンド,埼玉県さいたま市大宮区吉敷町4-263-1 コクーン3 1F,048-729-6663,無休,月〜日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11053953/,tabelog
茜屋珈琲店 大宮店,喫茶店,埼玉県さいたま市大宮区大門町2-22-1 TAiGAビル 4F,048-644-2411,無休,月〜日・祝日：11：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11004397/,tabelog
ベーカリー＆カフェ カスカード 大宮マルイ店,パン、カフェ、サンドイッチ,埼玉県さいたま市大宮区桜木町2-3 大宮マルイ 1F,048-871-7801,無休,"月〜土：08：00 〜 21：00
日・祝日：08：00 〜 20：30",https://tabelog.com/saitama/A1101/A110101/11047854/,tabelog
氷川茶庭,喫茶店,埼玉県さいたま市大宮区高鼻町1-407 氷川神社敷地,,・不定休,"月：10：00 〜 18：00
月：10：00〜18：00
月：10：00〜16：00",https://tabelog.com/saitama/A1101/A110101/11064339/,tabelog
フレッシュネスバーガー コクーンシティさいたま新都心店,ハンバーガー、カフェ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーンシティ2 3F コクーンシティキッチン,048-788-1056,不定休,月〜日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11041215/,tabelog
cafe CERVIN,カフェ、ケーキ、パスタ,埼玉県さいたま市大宮区高鼻町1-56 NRK大宮 1F,048-708-5284,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11060774/,tabelog
一汁一菜ごはん 御御御,食堂、カフェ、日本料理,埼玉県さいたま市大宮区錦町630 ルミネ大宮店ルミネ2 4F,048-631-1030,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11045622/,tabelog
椿屋茶房 大宮店,喫茶店,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 1F,048-871-8334,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11066340/,tabelog
小春日和,パン、ベーグル、カフェ,埼玉県さいたま市大宮区堀の内町3-39-1,048-648-5614,無休,火〜金：10：30 〜 16：30,https://tabelog.com/saitama/A1101/A110101/11004747/,tabelog
ゴンチャ アルシェ大宮店,ティースタンド、スイーツ、タピオカ,埼玉県さいたま市大宮区桜木町2-1-1 大宮アルシェ 2F,048-871-7702,無休,月〜日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11050547/,tabelog
フレスコ,バー、カフェ,埼玉県さいたま市大宮区仲町2-17 第2小島ビル 1F,048-649-2675,年中無休,"月〜土：08：00 〜 03：00
日・祝日：08：00 〜 01：00
月〜日：8：00〜18：00
月〜土：11：00〜14：00
月〜土：18：00〜3：00
日・祝日：18：00〜1：00",https://tabelog.com/saitama/A1101/A110101/11001770/,tabelog
氷川参道カフェ いやしろ,カフェ,埼玉県さいたま市大宮区吉敷町3-48-1,048-715-0623,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11053540/,tabelog
サンドイッチカフェ おいしいメルヘン。 ecute大宮店,サンドイッチ、カフェ,埼玉県さいたま市大宮区錦町630 ecute大宮,048-648-8666,不定休,月〜日：07：00 〜 22：30,https://tabelog.com/saitama/A1101/A110101/11040002/,tabelog
GREAT ESCAPE,ハンバーガー、カフェ、バー,埼玉県さいたま市大宮区桜木町2-389 第17松ビル 1F,048-729-5487,|,夏季休暇 年末年始休暇の場合がございます月曜日ディナ〜はとなります,https://tabelog.com/saitama/A1101/A110101/11037870/,tabelog
熊谷珈琲,喫茶店、カフェ,埼玉県さいたま市大宮区浅間町2-46 浅間町ハウス 1F,048-607-5432,無休,"火〜金：10：00 〜 19：00
土・日・祝日：07：00 〜 19：00",https://tabelog.com/saitama/A1101/A110101/11021262/,tabelog
BLOOMY'S×Flory,カフェ,埼玉県さいたま市大宮区大門町2-118 大宮門街EAST 2F,048-729-4096,無休,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11058224/,tabelog
オール ザット コーヒーワークス,カフェ,埼玉県さいたま市大宮区土手町2-35,048-708-8483,|,月・水〜日：12：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11045815/,tabelog
アリー コーヒー,カフェ、喫茶店,埼玉県さいたま市大宮区下町2-72 1F,048-871-6551,|,火〜日・祝日：09：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11041840/,tabelog
BECK'S COFFEE SHOP さいたま新都心店,カフェ,埼玉県さいたま市大宮区吉敷町4-57-3 さいたま新都心駅改札内,080-3723-2396,年中無休,"月〜金：06：45 〜 21：00
土・日・祝日：07：00 〜 20：00",https://tabelog.com/saitama/A1101/A110101/11014638/,tabelog
おぼんdeごはん コクーンシティ店,カフェ、食堂,埼玉県さいたま市大宮区吉敷町4-263-1 コクーン2 1F,048-788-1196,年中無休,月〜日：11：00 〜 23：00,https://tabelog.com/saitama/A1101/A110101/11040718/,tabelog
甘味屋 田むら,甘味処,埼玉県さいたま市大宮区錦町630 ルミネ大宮店 ルミネ2 4Ｆ,048-645-7355,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11048041/,tabelog
スターバックス コーヒー 大宮西口店,カフェ、パン,埼玉県さいたま市大宮区桜木町1-1-12 NYビル 1F,048-647-4882,無休,月〜日：07：00 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11001949/,tabelog
常盤珈琲焙煎所 大宮本店,コーヒースタンド,埼玉県さいたま市大宮区桜木町2-2-10,048-614-8787,無休,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11029393/,tabelog
常盤珈琲焙煎所 大宮氷川参道店,カフェ,埼玉県さいたま市大宮区高鼻町1-173-2,048-783-4883,無休,月〜日：09：00 〜 19：00,https://tabelog.com/saitama/A1101/A110101/11046112/,tabelog
コメダ和喫茶 おかげ庵 大宮東口店,カフェ,埼玉県さいたま市大宮区大門町2-118 大宮門街 １F,048-788-4086,無休,月〜日：07：00 〜 23：00,https://tabelog.com/saitama/A1101/A110101/11064343/,tabelog
WIRED CAFE ルミネ大宮店,カフェ、スイーツ、レストラン,埼玉県さいたま市大宮区錦町630 ルミネ2 3Ｆ,,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11001713/,tabelog
5 CAFE,ハワイ料理、カフェ,埼玉県さいたま市大宮区櫛引町1-880,048-400-3171,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11061456/,tabelog
プリン工房 檸檬堂。 大宮本店,プリン、カフェ、洋菓子,埼玉県さいたま市大宮区東町2-87,080-3020-9732,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11036171/,tabelog
アンデルセン ルミネ大宮店,パン、サンドイッチ、カフェ,埼玉県さいたま市大宮区錦町630 ルミネ大宮2 1F,048-645-4125,無休,"月〜土：10：00 〜 21：00
日・祝日：10：00 〜 20：30",https://tabelog.com/saitama/A1101/A110101/11003879/,tabelog
ドゥミュミュール 樹の音,カフェ,埼玉県さいたま市大宮区天沼町1-63,048-657-2757,無休,金〜日：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11046232/,tabelog
カフェ 風屋,カフェ,埼玉県さいたま市大宮区上小町603-3,048-648-7333,無休,月・火・木・金：11：30 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11046715/,tabelog
珈琲館 大宮東口店,喫茶店,埼玉県さいたま市大宮区大門町1-26 アイ大宮東ビル 2F,048-871-9965,無休,月〜日：08：00 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11061231/,tabelog
Vege Plat Caffe,カフェ,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 B1F,,不定休,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11059493/,tabelog
カフェボスケ,カフェ、パン、カレー,埼玉県さいたま市大宮区三橋1-1331,048-640-2533,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11029143/,tabelog
喫茶ルポーズ,喫茶店,埼玉県さいたま市大宮区天沼町1-136-2,048-657-0202,|,月〜金・日・祝日：10：00 〜 16：00,https://tabelog.com/saitama/A1101/A110101/11029667/,tabelog
ブランジェ浅野屋 エキュート大宮ノース店,パン、カフェ,埼玉県さいたま市大宮区錦町630 エキュート大宮,048-871-6390,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11056872/,tabelog
リーガルカフェ,カフェ,埼玉県さいたま市大宮区桜木町4-333-13 ＯＬＳビル２Ｆ,048-646-4158,無休,月〜金：10：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11004403/,tabelog
のんびりcafe もふ浪漫,カフェ,埼玉県さいたま市大宮区三橋4-980-17 1F,080-8010-5015,無休,月・木〜日：12：00 〜 19：00,https://tabelog.com/saitama/A1101/A110101/11058788/,tabelog
まめやサン,コーヒースタンド,埼玉県さいたま市大宮区桜木町3-113,048-708-1363,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11055130/,tabelog
cafe&bar LOCKSTOCK,ダーツ、カフェ、バー,埼玉県さいたま市大宮区桜木町1-175 KGビル 2F,048-788-3144,無休,月〜日：15：00 〜 05：00,https://tabelog.com/saitama/A1101/A110101/11053129/,tabelog
侘助,喫茶店,埼玉県さいたま市大宮区天沼町2-674-1,048-647-6239,|,火〜土：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11029653/,tabelog
cafe Lautrec,カフェ,埼玉県さいたま市大宮区桜木町1-365-5,048-645-5505,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11021278/,tabelog
南回帰線,カフェ,埼玉県さいたま市大宮区吉敷町2-108-8,048-645-5885,無休,月・水〜日：10：00 〜 19：00,https://tabelog.com/saitama/A1101/A110101/11039208/,tabelog
一保堂茶舗 そごう大宮店,カフェ,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 B1F,048-646-2111,無休,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11030540/,tabelog
喫茶室イレーヌ,喫茶店,埼玉県さいたま市大宮区土手町3-203-1 第三小島ビル 2F,048-741-5574,不定休,"月〜日：10：30 〜 17：00
月〜日：17：00 〜 21：00",https://tabelog.com/saitama/A1101/A110101/11046296/,tabelog
アリー コーヒー 焙煎場,カフェ,埼玉県さいたま市大宮区下町 2-72 2F,048-871-6551,無休,月・水〜日：11：00 〜 19：00,https://tabelog.com/saitama/A1101/A110101/11052649/,tabelog
アートカフェ濱田,喫茶店,埼玉県さいたま市大宮区土手町3-80,048-641-0057,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11046810/,tabelog
イタリアンバー No Name 346,イタリアン、居酒屋、カフェ,埼玉県さいたま市大宮区宮町2-8-1 corte 1F,048-788-1518,無休,"月〜木・日・祝日：17：00 〜 00：00
金〜日・祝前日：17：00 〜 03：00",https://tabelog.com/saitama/A1101/A110101/11059884/,tabelog
TICO,カフェ、喫茶店,埼玉県さいたま市大宮区大成町3-615-10,048-661-5554,無休,月〜土：10：00 〜 16：00,https://tabelog.com/saitama/A1101/A110101/11033063/,tabelog
フロンティア,ダーツ、カフェ、バー,埼玉県さいたま市大宮区大門町3-50 VIPROYAL氷川台 B1F,,|,月〜土：18：00 〜 03：00,https://tabelog.com/saitama/A1101/A110101/11034165/,tabelog
ぶたのしっぽ,カフェ、洋菓子,埼玉県さいたま市大宮区東町2-54-2 小川コンビニアム 1F,048-856-9339,|,月〜水・金〜日：13：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11047576/,tabelog
カラオケ喫茶 粋歌,カフェ,埼玉県さいたま市大宮区高鼻町2-285,,無休,月〜日：12：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11044026/,tabelog
大宮ボートハーバー,カフェ,埼玉県さいたま市大宮区高鼻町4 周遊池,070-3200-0716,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11065205/,tabelog
道化宿珈琲,喫茶店,埼玉県さいたま市大宮区浅間町2-261,090-3845-8462,|,ホ〜ムぺ〜ジにて告知,https://tabelog.com/saitama/A1101/A110101/11060857/,tabelog
Café Fika,カフェ,埼玉県さいたま市大宮区三橋1-993-1,048-662-9371,|,月〜金：11：00 〜 16：00,https://tabelog.com/saitama/A1101/A110101/11066451/,tabelog
ブルプル コクーンシティ店,タピオカ、ジューススタンド,埼玉県さいたま市大宮区吉敷町4-263-1 コクーンシティ cocoon2 1F,048-778-8062,日,月〜日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11052764/,tabelog
はなまめカフェ,カフェ、食堂,埼玉県さいたま市大宮区三橋2-903-2,048-871-8186,無休,火・水・金・土：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11055471/,tabelog
ラウンジソニックホール,カフェ,埼玉県さいたま市大宮区桜木町1-7-2,048-647-4004,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11048767/,tabelog
あっぷるはうす,喫茶店、カフェ,埼玉県さいたま市大宮区高鼻町2-285,048-644-9925,日,【営業時間】■,https://tabelog.com/saitama/A1101/A110101/11018425/,tabelog
アフィリア・ブルジュール 大宮店,バー、ダイニングバー、カフェ,埼玉県さいたま市大宮区仲町1-60 アイスビル B1F,048-871-8325,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11040141/,tabelog
豆図鑑,カフェ,埼玉県さいたま市大宮区天沼町1-602,048-647-2689,無休,火〜日：10：00 〜 19：00,https://tabelog.com/saitama/A1101/A110101/11039156/,tabelog
ココマンナ 大宮店,クレープ・ガレット、タピオカ,埼玉県さいたま市大宮区桜木町2-3 ダイエー大宮店 B1F,048-778-8850,不定休,月〜日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11055483/,tabelog
空,カフェ,埼玉県さいたま市大宮区上小町522,048-644-4086,不定休,【営業時間】■ 営業時間不定■,https://tabelog.com/saitama/A1101/A110101/11038508/,tabelog
Cat Cafe MOFF コクーンシティさいたま新都心店,カフェ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーンシティ コクーン2 3F,048-871-7739,『コク〜ンシティ』の定休日に準ずる,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11064626/,tabelog
Art cafe Linden,カフェ,埼玉県さいたま市大宮区堀の内町3-359-17 1F,048-646-0876,|,水〜日：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11036905/,tabelog
COFFEE B-1,喫茶店,埼玉県さいたま市大宮区大門町2-86 B1F,048-644-1161,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11062150/,tabelog
ドトールコーヒーショップ 自治医大さいたま医療センター店,カフェ,埼玉県さいたま市大宮区天沼町1-847,070-2634-3821,無休,月〜金：08：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11066826/,tabelog
BLUE GATE,カフェ,埼玉県さいたま市大宮区大門町3-108 クロックキッチン氷川参道店 2F,,|,水・木：11：30 〜 14：00,https://tabelog.com/saitama/A1101/A110101/11066529/,tabelog
Cafe タカハナ,カフェ,埼玉県さいたま市大宮区高鼻町1-107-1,,無休,月〜日：10：30 〜 16：00,https://tabelog.com/saitama/A1101/A110101/11065170/,tabelog
DELICO cafe,コーヒースタンド,埼玉県さいたま市大宮区東町1-3,,無休,"月・日：08：30 〜 18：00
水〜土：09：00 〜 17：00",https://tabelog.com/saitama/A1101/A110101/11063480/,tabelog
ベーグル ラパン チューズデイ,スープカレー、カフェ、ベーグル,埼玉県さいたま市大宮区浅間町2-45-2,,無休,火：11：00 〜 15：00,https://tabelog.com/saitama/A1101/A110101/11053451/,tabelog
スタジオM,喫茶店,埼玉県さいたま市大宮区土手町3-134,048-641-2829,無休,水〜日：11：30 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11060503/,tabelog
LEMONADE by Lemonica 大宮ラクーン店,ジューススタンド,埼玉県さいたま市大宮区宮町1-60 大宮ラクーン 1F,048-658-9559,無休,月〜日：11：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11063567/,tabelog
珈琲すばる,喫茶店,埼玉県さいたま市大宮区上小町875,,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11063326/,tabelog
M's SQUARE,カフェ、パン,埼玉県さいたま市大宮区桜木町1-10-8 武蔵野銀行本社ビル 2F,048-641-6111,無休,月〜金：10：00 〜 16：00,https://tabelog.com/saitama/A1101/A110101/11056951/,tabelog
マハロカフェ,カフェ,埼玉県さいたま市大宮区天沼町2-759 さいたまメディカルタウン 2F,048-642-8408,無休,月〜土：10：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11064639/,tabelog
喫茶つやま,喫茶店、日本料理,埼玉県さいたま市大宮区三橋3-134-4,048-648-0348,無休,火〜日：10：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11004407/,tabelog
スイート庵,喫茶店,埼玉県さいたま市大宮区寿能町1-80-1,,無休,月〜日：10：30 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11064400/,tabelog
本と喫茶 夢中飛行,喫茶店,埼玉県さいたま市大宮区高鼻町1-56 ｋs氷川の杜 2F,,無休,月・木〜日：11：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11063488/,tabelog
くら馬 cafe,カフェ、スイーツ,埼玉県さいたま市大宮区三橋1-727-2,048-778-8671,|,火〜日：14：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11044304/,tabelog
PUG アルシェ大宮POP-UP,スイーツ、カフェ,埼玉県さいたま市大宮区桜木町2-1-1 アルシェ大宮 2F,,無休,翌日が祝日の場合は 21：00まで,https://tabelog.com/saitama/A1101/A110101/11066557/,tabelog
Lyon Wellfieid Cafe,カフェ,埼玉県さいたま市大宮区桜木町4-928,048-643-4445,無休,火〜土：10：30 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11056930/,tabelog
エヌズドール＆カフェ,カフェ,埼玉県さいたま市大宮区三橋3-232-1,048-708-2683,無休,"火〜金：11：30 〜 20：30
土：12：30 〜 20：30",https://tabelog.com/saitama/A1101/A110101/11050113/,tabelog
OttO,カフェ、その他,埼玉県さいたま市大宮区桜木町1-345,048-871-8286,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11065216/,tabelog
ジェラフル 大宮ラクーン店,クレープ・ガレット、タピオカ,埼玉県さいたま市大宮区宮町1-60 大宮ラクーン 1F,090-4720-3657,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11061635/,tabelog
コーヒーサロンVIVI,喫茶店,埼玉県さいたま市大宮区堀の内町1-101,048-648-5445,無休,火〜土：10：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11013480/,tabelog
cafe enising,カフェ,埼玉県さいたま市大宮区天沼町1-621-251,,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11064869/,tabelog
コクーンアスレチックス,カフェ,埼玉県さいたま市大宮区吉敷町4-241-2 コクーンシティ,,|,"月〜水・金：09：00 〜 21：00
土・日・祝日：09：00 〜 18：00",https://tabelog.com/saitama/A1101/A110101/11045593/,tabelog
GOOD THE GOOD,カフェ,埼玉県さいたま市大宮区北袋町2-424 コーフク本社ビル 1F,048-606-4254,無休,月〜金：11：00 〜 16：00,https://tabelog.com/saitama/A1101/A110101/11067602/,tabelog
雑穀と醗酵オーガニックカフェ 花笑み,カフェ,埼玉県さいたま市大宮区三橋2-975-1,048-637-3364,無休,火・水・金：12：00 〜 16：30,https://tabelog.com/saitama/A1101/A110101/11044316/,tabelog
