店名,ジャンル,住所,電話番号,定休日,営業時間,URL,媒体,normalized_name,normalized_address,duplicate_score,chain_flag,mall_flag,exclude_reason
エヌズドール＆カフェ,カフェ,埼玉県さいたま市大宮区三橋3-232-1,048-708-2683,無休,"火〜金：11：30 〜 20：30
土：12：30 〜 20：30",https://tabelog.com/saitama/A1101/A110101/11050113/,tabelog,エヌズドル&カフェ,埼玉県さいたま市大宮区三橋3-232-1,0,false,false,
OttO,カフェ、その他,埼玉県さいたま市大宮区桜木町1-345,048-871-8286,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11065216/,tabelog,otto,埼玉県さいたま市大宮区桜木町1-345,0,false,false,
ジェラフル 大宮ラクーン店,クレープ・ガレット、タピオカ,埼玉県さいたま市大宮区宮町1-60 大宮ラクーン 1F,090-4720-3657,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11061635/,tabelog,ジェラフル大宮,埼玉県さいたま市大宮区宮町1-60大宮ラク-ン,0,false,false,
コーヒーサロンVIVI,喫茶店,埼玉県さいたま市大宮区堀の内町1-101,048-648-5445,無休,火〜土：10：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11013480/,tabelog,コヒサロンvivi,埼玉県さいたま市大宮区堀の内町1-101,0,false,false,
雑穀と醗酵オーガニックカフェ 花笑み,カフェ,埼玉県さいたま市大宮区三橋2-975-1,048-637-3364,無休,火・水・金：12：00 〜 16：30,https://tabelog.com/saitama/A1101/A110101/11044316/,tabelog,雑穀と醗酵オガニックカフェ花笑み,埼玉県さいたま市大宮区三橋2-975-1,0,false,false,
マナワ カフェ,カフェ,埼玉県さいたま市大宮区高鼻町3-119-1,,無休,木〜日：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11052423/,tabelog,マナワカフェ,埼玉県さいたま市大宮区高鼻町3-119-1,0,false,false,
ロッカ,喫茶店,埼玉県さいたま市大宮区宮町1-69,,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11013577/,tabelog,ロッカ,埼玉県さいたま市大宮区宮町1-69,0,false,false,
喫茶 湊,喫茶店,埼玉県さいたま市大宮区天沼町1-81-4,,無休,"月〜金：11：30 〜 17：00
土・日：11：30 〜 18：00",https://tabelog.com/saitama/A1101/A110101/11050678/,tabelog,喫茶湊,埼玉県さいたま市大宮区天沼町1-81-4,0,false,false,
SLB CAFE,カフェ、ビアバー,埼玉県さいたま市大宮区宮町1-1-1,,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11066711/,tabelog,slbcae,埼玉県さいたま市大宮区宮町1-1-1,0,false,false,
アップコーヒー,カフェ,埼玉県さいたま市大宮区吉敷町2-123,,無休,月・水〜日：09：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11053006/,tabelog,アップコヒ,埼玉県さいたま市大宮区吉敷町2-123,0,false,false,
リモーネ,喫茶店,埼玉県さいたま市大宮区桜木町4-69-4,,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11044884/,tabelog,リモネ,埼玉県さいたま市大宮区桜木町4-69-4,0,false,false,
氷川茶庭,喫茶店,埼玉県さいたま市大宮区高鼻町1-407 氷川神社敷地,,・不定休,"月：10：00 〜 18：00
月：10：00〜18：00
月：10：00〜16：00",https://tabelog.com/saitama/A1101/A110101/11064339/,tabelog,氷川茶庭,埼玉県さいたま市大宮区高鼻町1-407氷川神社敷地,0,false,false,
Vege Plat Caffe,カフェ,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 B1F,,不定休,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11059493/,tabelog,vegeplatcae,埼玉県さいたま市大宮区桜木町1-6-2そごう大宮店,0,false,false,
フロンティア,ダーツ、カフェ、バー,埼玉県さいたま市大宮区大門町3-50 VIPROYAL氷川台 B1F,,|,月〜土：18：00 〜 03：00,https://tabelog.com/saitama/A1101/A110101/11034165/,tabelog,フロンティア,埼玉県さいたま市大宮区大門町3-50viproyal氷川台,0,false,false,
カラオケ喫茶 粋歌,カフェ,埼玉県さいたま市大宮区高鼻町2-285,,無休,月〜日：12：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11044026/,tabelog,カラオケ喫茶粋歌,埼玉県さいたま市大宮区高鼻町2-285,0,false,false,
BLUE GATE,カフェ,埼玉県さいたま市大宮区大門町3-108 クロックキッチン氷川参道店 2F,,|,水・木：11：30 〜 14：00,https://tabelog.com/saitama/A1101/A110101/11066529/,tabelog,bluegate,埼玉県さいたま市大宮区大門町3-108クロックキッチン氷川参道店,0,false,false,
Cafe タカハナ,カフェ,埼玉県さいたま市大宮区高鼻町1-107-1,,無休,月〜日：10：30 〜 16：00,https://tabelog.com/saitama/A1101/A110101/11065170/,tabelog,caeタカハナ,埼玉県さいたま市大宮区高鼻町1-107-1,0,false,false,
DELICO cafe,コーヒースタンド,埼玉県さいたま市大宮区東町1-3,,無休,"月・日：08：30 〜 18：00
水〜土：09：00 〜 17：00",https://tabelog.com/saitama/A1101/A110101/11063480/,tabelog,delicocae,埼玉県さいたま市大宮区東町1-3,0,false,false,
ベーグル ラパン チューズデイ,スープカレー、カフェ、ベーグル,埼玉県さいたま市大宮区浅間町2-45-2,,無休,火：11：00 〜 15：00,https://tabelog.com/saitama/A1101/A110101/11053451/,tabelog,ベグルラパンチュズデイ,埼玉県さいたま市大宮区浅間町2-45-2,0,false,false,
珈琲すばる,喫茶店,埼玉県さいたま市大宮区上小町875,,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11063326/,tabelog,珈琲すばる,埼玉県さいたま市大宮区上小町875,0,false,false,
スイート庵,喫茶店,埼玉県さいたま市大宮区寿能町1-80-1,,無休,月〜日：10：30 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11064400/,tabelog,スイト庵,埼玉県さいたま市大宮区寿能町1-80-1,0,false,false,
本と喫茶 夢中飛行,喫茶店,埼玉県さいたま市大宮区高鼻町1-56 ｋs氷川の杜 2F,,無休,月・木〜日：11：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11063488/,tabelog,本と喫茶夢中飛行,埼玉県さいたま市大宮区高鼻町1-56ks氷川の杜,0,false,false,
PUG アルシェ大宮POP-UP,スイーツ、カフェ,埼玉県さいたま市大宮区桜木町2-1-1 アルシェ大宮 2F,,無休,翌日が祝日の場合は 21：00まで,https://tabelog.com/saitama/A1101/A110101/11066557/,tabelog,pugアルシェ大宮popup,埼玉県さいたま市大宮区桜木町2-1-1アルシェ大宮,0,false,false,
cafe enising,カフェ,埼玉県さいたま市大宮区天沼町1-621-251,,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11064869/,tabelog,caeenising,埼玉県さいたま市大宮区天沼町1-621-251,0,false,false,
コクーンアスレチックス,カフェ,埼玉県さいたま市大宮区吉敷町4-241-2 コクーンシティ,,|,"月〜水・金：09：00 〜 21：00
土・日・祝日：09：00 〜 18：00",https://tabelog.com/saitama/A1101/A110101/11045593/,tabelog,コクンアスレチックス,埼玉県さいたま市大宮区吉敷町4-241-2コク-ンシティ,0,false,false,
